Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Baroda BNP Paribas Large Cap Fund(G)-Direct Plan,Large Cap Fund,Jitendra Sriram,INF251K01HN7,17%,1440,0.94%,Ranked,78,74%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Unsatisfactory - Fund Manger strike rate is 16%.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
SBI BlueChip Fund(G)-Direct Plan,Large Cap Fund,Sohini Andani,INF200K01QX4,50%,35617,0.91%,Ranked,90,94%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 50%.
","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Invesco India Largecap Fund(G)-Direct Plan,Large Cap Fund,Amit Nigam,INF205K01LB0,29%,772,0.81%,Ranked,79,87%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 29%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
ICICI Pru Bluechip Fund(G)-Direct Plan,Large Cap Fund,Anish Tawakley,INF109K016L0,50%,35929,1.06%,Ranked,75,71%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Aditya Birla SL Frontline Equity Fund(G)-Direct Plan,Large Cap Fund,Mahesh Patil,INF209K01YY7,67%,22873,1.03%,Ranked,78,77%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Axis Bluechip Fund(G)-Direct Plan,Large Cap Fund,Shreyash Devalkar,INF846K01DP8,78%,36891,0.57%,Ranked,91,97%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 77%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Nippon India Large Cap Fund(G)-Direct Plan,Large Cap Fund,Sailesh Raj Bhan,INF204K01XI3,75%,12922,1.00%,Ranked,87,90%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.
","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
IDBI India Top 100 Equity Fund(G)-Direct Plan,Large Cap Fund,Alok Ranjan,INF397L01BV2,33%,643,1.25%,Ranked,78,81%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Canara Rob Bluechip Equity Fund(G)-Direct Plan,Large Cap Fund,Shridatta Bhandwaldar,INF760K01FR2,80%,8832,0.42%,Ranked,79,84%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 80%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Kotak Bluechip Fund(G)-Direct Plan,Large Cap Fund,Harish krishnan,INF174K01KW6,63%,5427,0.69%,Ranked,71,68%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 62%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
Tata Large Cap Fund(G)-Direct Plan,Large Cap Fund,Amey Sathe,INF277K01QZ7,0%,1438,1.23%,Ranked,59,61%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
UTI Mastershare(G)-Direct Plan,Large Cap Fund,Karthikraj Lakshmanan,INF789F01US8,45%,11039,0.98%,Ranked,67,65%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 45%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
LIC MF Large Cap Fund(G)-Direct Plan,Large Cap Fund,Yogesh Patil,INF767K01EJ7,20%,712,1.39%,Ranked,57,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 20%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
